Outcome,FOK_se,Cowspiracy_se,Okja/WTH_se,TGC_se,YAWYE_se,All_se,FOK_pe,Cowspiracy_pe,Okja/WTH_pe,TGC_pe,YAWYE_pe,All_pe,FOK_pval,Cowspiracy_pval,Okja/WTH_pval,TGC_pval,YAWYE_pval,All_pval
Searches: `Plant based',,,,,,,,,,,,,,,,,,
Searches: `Vegan',,,,,,,,,,,,,,,,,,
Searches: `Vegetarian',,,,,,,,,,,,,,,,,,
Beef Demand,0.04488766771511614,0.042133848460648625,0.04092592151666713,0.04249455407798452,,0.040289758487728373,-0.0023808387318492684,-0.017682194596923145,-0.005521601665726168,0.006341171609808608,,-0.010682961073620632,0.9577509989353739,0.6751617206610694,0.8928079820224921,0.8815221285841608,,0.7911466268105608
Pork Demand,0.04495259737807533,0.04214791427325582,0.04071380685278819,0.042156731299404074,,0.04023410102153648,-0.033391791128221826,0.042045297826733344,-0.013799008862852504,-0.003119559056857981,,-0.018213718374384107,0.4584273881182419,0.3196492733961359,0.7350066292769923,0.941082237629931,,0.6512280141795803
Chicken Demand,0.04437214733820458,0.04157070965661544,0.03994122495833175,0.04139654737145081,,0.03931993176359389,-0.016493559829834768,0.011717334360967682,0.005142998072020286,0.016688542009371084,,0.0024556299460832508,0.7104873468171914,0.7783271512265572,0.8976686889030328,0.6872604163606195,,0.950260740293877
StewartMilk,,,,,,,,,,,,,,,,,,
StewartPBMilk,,,,,,,,,,,,,,,,,,
Zhao,,,,,,,,,,,,,,,,,,
"Searches: `Vegan', Informative",,,,,,,,,,,,,,,,,,
"Searches: `Vegetarian', Informative",,,,,,,,,,,,,,,,,,
"Searches: `Plant based', Informative",,,,,,,,,,,,,,,,,,
"Searches: `Vegan', Behavior",,,,,,,,,,,,,,,,,,
"Searches: `Vegetarian', Behavior",,,,,,,,,,,,,,,,,,
"Searches: `Plant based', Behavior",,,,,,,,,,,,,,,,,,
