Outcome,FOK_se,Cowspiracy_se,Okja/WTH_se,TGC_se,YAWYE_se,All_se,FOK_pe,Cowspiracy_pe,Okja/WTH_pe,TGC_pe,YAWYE_pe,All_pe,FOK_pval,Cowspiracy_pval,Okja/WTH_pval,TGC_pval,YAWYE_pval,All_pval
Searches: `Plant based',,,,,,,,,,,,,,,,,,
Searches: `Vegan',,,,,,,,,,,,,,,,,,
Searches: `Vegetarian',,,,,,,,,,,,,,,,,,
Beef Demand,0.04730225622593151,0.04478999151019401,0.04347049352714365,0.04655980040523592,,0.042975733750988225,-0.007642758824951027,-0.016739337214198492,-0.02859549270079927,-0.016769317143917578,,-0.038571683700491445,0.871799098555179,0.7089862950717609,0.5113850936914162,0.7190874880019893,,0.37044884896588004
Pork Demand,0.04771156760187327,0.04494186643658817,0.04408776130618501,0.04678885540773276,,0.04394626338352367,-0.051278805541691085,0.06127408843788104,-0.0257674950840313,-0.004776120688925981,,-0.030162720769602004,0.28372434111606554,0.17422792652751107,0.5595448266748565,0.9187929677900311,,0.4932324959881055
Chicken Demand,0.0440097121321904,0.04105710559336507,0.03989360387374105,0.04211188880064487,,0.039899584600410314,-0.045117190152990115,0.025857034721313347,-0.0016952254335903384,0.046930776435927156,,-0.00553720156498729,0.3064763799298752,0.5295282681326108,0.9661459251925812,0.26638055594734417,,0.8897557487675933
StewartMilk,,,,,,,,,,,,,,,,,,
StewartPBMilk,,,,,,,,,,,,,,,,,,
Zhao,,,,,,,,,,,,,,,,,,
"Searches: `Vegan', Informative",,,,,,,,,,,,,,,,,,
"Searches: `Vegetarian', Informative",,,,,,,,,,,,,,,,,,
"Searches: `Plant based', Informative",,,,,,,,,,,,,,,,,,
"Searches: `Vegan', Behavior",,,,,,,,,,,,,,,,,,
"Searches: `Vegetarian', Behavior",,,,,,,,,,,,,,,,,,
"Searches: `Plant based', Behavior",,,,,,,,,,,,,,,,,,
